task_id,group,source_text,base_failed,finetuned_failed,evaluated_tokens,same_text_mean_delta_norm,same_text_rms_token_delta,same_text_pc1_explained_energy,mean_delta_cosine_pc1,peak_delta_token_index,peak_delta_token_norm,peak_delta_text,peak_delta_token_id
HumanEval/127,base_pass_finetuned_fail,deepseek_finetuned,False,True,180,34.784385681152344,86.19642639160156,0.17447905242443085,0.987598180770874,114,92.06095123291016, if,562
HumanEval/1,base_fail_finetuned_pass,deepseek_base,True,False,11,76.96028137207031,90.97216033935547,0.7167710065841675,0.999944806098938,10,91.70488739013672,\n,185
HumanEval/1,base_fail_finetuned_pass,deepseek_finetuned,True,False,215,32.04011535644531,82.44949340820312,0.1645783931016922,0.9746828079223633,92,91.80348205566406, #,1494
HumanEval/6,base_fail_finetuned_pass,deepseek_base,True,False,32,47.052452087402344,78.18353271484375,0.470674067735672,0.9559659957885742,1,91.12783813476562, return,967
HumanEval/6,base_fail_finetuned_pass,deepseek_finetuned,True,False,93,59.6191520690918,90.52772521972656,0.44018658995628357,0.9994533061981201,33,91.86451721191406, group,2582
HumanEval/8,base_fail_finetuned_pass,deepseek_base,True,False,15,75.61781311035156,90.44017028808594,0.6994179487228394,0.9999890923500061,1,91.08932495117188, return,967
HumanEval/8,base_fail_finetuned_pass,deepseek_finetuned,True,False,42,48.817543029785156,76.12864685058594,0.48203304409980774,0.9740673899650574,28,92.49952697753906, product,1932
HumanEval/10,base_fail_finetuned_pass,deepseek_base,True,False,58,35.15763473510742,78.06961059570312,0.293363481760025,0.8955197334289551,26,92.84907531738281,\n,185
HumanEval/10,base_fail_finetuned_pass,deepseek_finetuned,True,False,71,61.82123565673828,90.91922760009766,0.47360897064208984,0.9983214139938354,3,92.54756164550781, string,2649
HumanEval/26,base_fail_finetuned_pass,deepseek_base,True,False,10,66.08330535888672,85.37700653076172,0.6580970287322998,0.9933952689170837,6,90.7087631225586,num,6487
HumanEval/26,base_fail_finetuned_pass,deepseek_finetuned,True,False,45,53.157447814941406,90.28887939453125,0.3675154447555542,0.9924212098121643,39,91.41944122314453, return,967
HumanEval/36,base_fail_finetuned_pass,deepseek_base,True,False,40,50.37771987915039,90.54497528076172,0.337390661239624,0.9886792302131653,34,91.74315643310547, in,279
HumanEval/36,base_fail_finetuned_pass,deepseek_finetuned,True,False,51,43.27175521850586,83.58514404296875,0.299685001373291,0.9865469336509705,8,91.74095153808594, in,279
HumanEval/46,base_fail_finetuned_pass,deepseek_base,True,False,121,52.356529235839844,90.58660125732422,0.36273157596588135,0.984002947807312,31,91.72320556640625, ,207
HumanEval/46,base_fail_finetuned_pass,deepseek_finetuned,True,False,95,34.435062408447266,85.86559295654297,0.1656845062971115,0.9934744834899902,28,91.79721069335938,\n,185
HumanEval/47,base_fail_finetuned_pass,deepseek_base,True,False,64,37.567359924316406,83.15203094482422,0.2450563907623291,0.9664703607559204,15,92.21186828613281, == ,7400
HumanEval/47,base_fail_finetuned_pass,deepseek_finetuned,True,False,63,37.62523651123047,83.52432250976562,0.25374865531921387,0.9591487646102905,34,91.99109649658203, +,945
HumanEval/61,base_fail_finetuned_pass,deepseek_base,True,False,67,37.83878707885742,81.43287658691406,0.22512272000312805,0.9950790405273438,56,91.55352020263672, return,967
HumanEval/61,base_fail_finetuned_pass,deepseek_finetuned,True,False,69,39.62385177612305,81.9765396118164,0.24020002782344818,0.9971070885658264,2,91.75919342041016, =,405
HumanEval/62,base_fail_finetuned_pass,deepseek_base,True,False,29,55.61956024169922,88.90785217285156,0.4869453012943268,0.9738885760307312,16,91.9696044921875, for,327
HumanEval/62,base_fail_finetuned_pass,deepseek_finetuned,True,False,23,75.40789794921875,91.37422180175781,0.6828967928886414,0.9999359846115112,10,92.0804214477539, for,327
HumanEval/0,both_pass,deepseek_base,False,False,56,28.783130645751953,75.62802124023438,0.16630397737026215,0.9772682189941406,32,91.46015930175781, abs,3095
HumanEval/0,both_pass,deepseek_finetuned,False,False,47,33.957733154296875,80.86907958984375,0.20037296414375305,0.9649634957313538,5,91.93695831298828,\n,185
HumanEval/2,both_pass,deepseek_base,False,False,7,55.36162567138672,87.29473114013672,0.41851407289505005,0.9959242343902588,0,91.50554656982422,   ,315
HumanEval/2,both_pass,deepseek_finetuned,False,False,27,64.5871810913086,90.92420959472656,0.5313567519187927,0.9969387054443359,25,91.88471221923828,part,1621
HumanEval/3,both_pass,deepseek_base,False,False,32,56.509544372558594,90.91228485107422,0.40879443287849426,0.976922869682312,5,91.9117431640625,   ,315
HumanEval/3,both_pass,deepseek_finetuned,False,False,32,56.509544372558594,90.91228485107422,0.40879443287849426,0.976922869682312,5,91.9117431640625,   ,315
HumanEval/4,both_pass,deepseek_base,False,False,37,56.591766357421875,90.57313537597656,0.41429588198661804,0.9814586639404297,29,92.07960510253906,]),5589
HumanEval/4,both_pass,deepseek_finetuned,False,False,77,60.44928741455078,90.39876556396484,0.4529717266559601,0.9997704029083252,18,91.91961669921875,   ,315
HumanEval/7,both_pass,deepseek_base,False,False,15,68.15451049804688,90.6822280883789,0.568050742149353,0.9998358488082886,10,91.62107849121094,string,2600
HumanEval/7,both_pass,deepseek_finetuned,False,False,15,68.15451049804688,90.6822280883789,0.568050742149353,0.9998358488082886,10,91.62107849121094,string,2600
HumanEval/9,both_pass,deepseek_base,False,False,49,51.00088119506836,90.50917053222656,0.327628493309021,0.9964141249656677,15,91.54212188720703,len,6446
HumanEval/9,both_pass,deepseek_finetuned,False,False,49,51.00088119506836,90.50917053222656,0.327628493309021,0.9964141249656677,15,91.54212188720703,len,6446
HumanEval/11,both_pass,deepseek_base,False,False,32,58.70002746582031,90.46576690673828,0.4310593605041504,0.998243510723114,17,91.90318298339844,b,65
HumanEval/11,both_pass,deepseek_finetuned,False,False,40,55.23112106323242,90.44829559326172,0.39920273423194885,0.9912855625152588,37,91.29752349853516, return,967
HumanEval/12,both_pass,deepseek_base,False,False,63,40.71833801269531,87.5348129272461,0.28368255496025085,0.9366434812545776,4,91.8280029296875,:,25
HumanEval/12,both_pass,deepseek_finetuned,False,False,69,40.19956588745117,83.71226501464844,0.23328253626823425,0.9993466138839722,12,92.0810317993164, longest,27863
HumanEval/13,both_pass,deepseek_base,False,False,54,41.977909088134766,89.15718841552734,0.2895916700363159,0.9582769870758057,40,91.66986846923828, greatest,9851
HumanEval/13,both_pass,deepseek_finetuned,False,False,23,64.93547058105469,90.31055450439453,0.5306490659713745,0.9989562630653381,17,90.97451782226562, b,270
HumanEval/14,both_pass,deepseek_base,False,False,22,43.56072235107422,81.8509750366211,0.2939913272857666,0.995169460773468,12,91.65771484375,1,16
HumanEval/14,both_pass,deepseek_finetuned,False,False,22,43.56072235107422,81.8509750366211,0.2939913272857666,0.995169460773468,12,91.65771484375,1,16
HumanEval/5,both_fail,deepseek_base,True,True,16,69.27442169189453,90.3670425415039,0.592357873916626,0.9996236562728882,0,90.94937896728516,   ,315
HumanEval/5,both_fail,deepseek_finetuned,True,True,56,58.85668182373047,89.1531753540039,0.5099743008613586,0.9943127632141113,34,91.69477844238281,.,13
HumanEval/32,both_fail,deepseek_base,True,True,40,43.89095687866211,89.32093048095703,0.30650800466537476,0.9212721586227417,1,92.26549530029297, assert,4409
HumanEval/32,both_fail,deepseek_finetuned,True,True,134,32.735904693603516,83.81947326660156,0.16045483946800232,0.9913655519485474,119,92.34778594970703, return,967
HumanEval/33,both_fail,deepseek_base,True,True,53,38.287864685058594,87.01793670654297,0.2777634859085083,0.9360400438308716,2,91.49412536621094,_,62
HumanEval/33,both_fail,deepseek_finetuned,True,True,58,39.39609146118164,87.37806701660156,0.2954590916633606,0.9413540959358215,56,91.6783676147461, usage,8182
HumanEval/37,both_fail,deepseek_base,True,True,35,47.7872314453125,90.94396209716797,0.285483717918396,0.9845188856124878,12,91.94671630859375, == ,7400
HumanEval/37,both_fail,deepseek_finetuned,True,True,67,61.2469596862793,90.80084991455078,0.4612891376018524,0.9998248219490051,30,92.45848083496094,:,25
HumanEval/41,both_fail,deepseek_base,True,True,13,76.43667602539062,90.86802673339844,0.7081915140151978,0.9999768733978271,12,91.40647888183594,\n,185
HumanEval/41,both_fail,deepseek_finetuned,True,True,63,28.368194580078125,83.91641998291016,0.14086490869522095,0.6791837215423584,61,91.82630157470703, usage,8182
HumanEval/54,both_fail,deepseek_base,True,True,28,63.88371658325195,90.29914093017578,0.5491825938224792,0.9903500080108643,17,91.59954833984375,1,16
HumanEval/54,both_fail,deepseek_finetuned,True,True,28,63.88371658325195,90.29914093017578,0.5491825938224792,0.9903500080108643,17,91.59954833984375,1,16
HumanEval/64,both_fail,deepseek_base,True,True,18,75.31307983398438,90.78721618652344,0.689245879650116,0.9999598860740662,10,91.60029602050781, c,258
HumanEval/64,both_fail,deepseek_finetuned,True,True,192,34.49693298339844,83.87327575683594,0.17565453052520752,0.9973559379577637,98,92.0273208618164, through,1182
HumanEval/67,both_fail,deepseek_base,True,True,511,38.448299407958984,85.68386840820312,0.2154286652803421,0.9928033351898193,9,92.0599136352539, H,414
HumanEval/67,both_fail,deepseek_finetuned,True,True,95,53.978328704833984,90.39886474609375,0.39486774802207947,0.9861606955528259,69,91.84564971923828,\n,185
HumanEval/75,both_fail,deepseek_base,True,True,39,56.8724365234375,87.2122573852539,0.4588959217071533,0.995913565158844,17,91.98046875,2,17
HumanEval/75,both_fail,deepseek_finetuned,True,True,44,56.217220306396484,87.95745086669922,0.43635112047195435,0.9968779683113098,19,91.68041229248047, a,245
HumanEval/77,both_fail,deepseek_base,True,True,41,54.88638687133789,88.17398071289062,0.42153555154800415,0.993909478187561,34,92.12503051757812, return,967
HumanEval/77,both_fail,deepseek_finetuned,True,True,144,33.111114501953125,86.3155746459961,0.15407690405845642,0.9935387372970581,109,91.88396453857422, ,207
