rank,feature_id,benchmark,task_id,task_idx,source_text,tokens,filename,rms_normalized,transition,max_activation,position,position_percent,token_text,context,encoder_base_contribution,encoder_finetuned_contribution
11,3048,bigcodebench,BigCodeBench/230,230,deepseek_base,429,same_text__bigcodebench__task_0230__gen_00__BigCodeBench_230.npz,True,both_fail,21.263839721679688,402,93.7062937062937,_,"axes[1].get_title(), ""Boxplot of Scores by Country"")\n\n    def test_invalid_input(self):\n        self.assertEqual(task_func(""not a dataframe""), ""Invalid input",10.251562118530273,11.019563674926758
12,3048,bigcodebench,BigCodeBench/358,358,deepseek_base,508,same_text__bigcodebench__task_0358__gen_00__BigCodeBench_358.npz,True,improvement,20.747896194458008,315,62.00787401574803,_,"        self.assertEqual(task_func(json_list, r), expected_output)\n\n    def test_invalid_json(self):\n        json_list = '{""number_list"": [1, 2,",10.231727600097656,10.523470878601074
13,3048,bigcodebench,BigCodeBench/506,506,deepseek_base,502,same_text__bigcodebench__task_0506__gen_00__BigCodeBench_506.npz,True,both_fail,20.599021911621094,402,80.0796812749004,_,"['max'], -2)\n        self.assertIsNotNone(result['plot'])\n\n    def test_task_func_humidity(self):\n        data = [[datetime(2022, 1,",10.498214721679688,10.108118057250977
14,3048,bigcodebench,BigCodeBench/1041,1041,deepseek_base,511,same_text__bigcodebench__task_1041__gen_00__BigCodeBench_1041.npz,True,both_fail,20.428546905517578,408,79.84344422700588,_,"Hello World""\n        self.assertEqual(task_func(request), expected_response)\n\n    def test_invalid_request(self):\n        request = ""INVALID REQUEST""\n        expected_response = ""HTTP",10.01698112487793,10.418861389160156
15,3048,bigcodebench,BigCodeBench/110,110,deepseek_base,507,same_text__bigcodebench__task_0110__gen_00__BigCodeBench_110.npz,True,improvement,20.207883834838867,434,85.60157790927022,_, ax = task_func(df)\n        self.assertIsNotNone(ax)\n\n    def test_invalid_input(self):\n        # Test with invalid input\n        with self.assertRaises(ValueError,9.92199420928955,10.293173789978027
16,3048,bigcodebench,BigCodeBench/320,320,deepseek_base,308,same_text__bigcodebench__task_0320__gen_00__BigCodeBench_320.npz,True,both_fail,20.197439193725586,225,73.05194805194805,_,"directory, self.file_list)\n        self.assertEqual(result, 0)\n\n    def test_task_func_empty_file_list(self):\n        result = task_func(self.directory,",10.200363159179688,10.004384994506836
17,3048,bigcodebench,BigCodeBench/593,593,deepseek_base,501,same_text__bigcodebench__task_0593__gen_00__BigCodeBench_593.npz,True,both_fail,20.197126388549805,160,31.936127744510976,_,"traffic_data(traffic_data)\n\n    return file_path, ax\n\n\ndef generate_traffic_data(hours):\n    """"""\n    Generates traffic data for different vehicle types over a specified number",10.465213775634766,9.739206314086914
18,3048,bigcodebench,BigCodeBench/841,841,deepseek_base,229,same_text__bigcodebench__task_0841__gen_00__BigCodeBench_841.npz,True,improvement,20.111778259277344,205,89.51965065502183,_,"}\n        self.assertEqual(task_func(json_input), expected_output)\n\n    def test_empty_json(self):\n        json_input = '{}'\n        expected_output = {}\n",9.98344612121582,10.135638236999512
19,3048,bigcodebench,BigCodeBench/1082,1082,deepseek_base,479,same_text__bigcodebench__task_1082__gen_00__BigCodeBench_1082.npz,True,both_fail,20.02955436706543,347,72.44258872651356,_,"assertAlmostEqual(task_func(data), expected_output, places=2)\n\n    def test_invalid_input(self):\n        data = {'Score_String': ['80.5', '85",9.719779014587402,10.31707763671875
20,3048,bigcodebench,BigCodeBench/744,744,deepseek_base,483,same_text__bigcodebench__task_0744__gen_00__BigCodeBench_744.npz,True,both_fail,20.02923011779785,375,77.63975155279503,_,"\n        pd.testing.assert_frame_equal(output, expected_output)\n\n    def test_invalid_input(self):\n        # Test with an invalid input (not a string)\n        text = 1",10.1918363571167,9.844664573669434
21,3048,bigcodebench,BigCodeBench/170,170,deepseek_base,472,same_text__bigcodebench__task_0170__gen_00__BigCodeBench_170.npz,True,both_fail,20.021522521972656,364,77.11864406779661,_,"(result_df, expected_df)\n\n    @patch('requests.get')\n    def test_task_func_sort_by_column(self, mock_get):\n        csv_url = """,10.304312705993652,9.724491119384766
22,3048,bigcodebench,BigCodeBench/724,724,deepseek_base,284,same_text__bigcodebench__task_0724__gen_00__BigCodeBench_724.npz,True,both_fail,19.89663314819336,242,85.21126760563381,_,"(self.config_path)\n        self.assertEqual(result, self.config)\n\n    def test_task_func_file_not_found(self):\n        with self.assertRaises(FileNotFoundError",10.23759651184082,9.66634464263916
23,3048,bigcodebench,BigCodeBench/178,178,deepseek_base,365,same_text__bigcodebench__task_0178__gen_00__BigCodeBench_178.npz,True,improvement,19.823970794677734,240,65.75342465753425,_,"'\n        self.assertEqual(task_func(ip_address), expected_ip)\n\n    def test_invalid_ip_address(self):\n        ip_address = '{""ip"": ""invalid""}'\n       ",9.730674743652344,10.100592613220215
24,3048,bigcodebench,BigCodeBench/390,390,deepseek_base,418,same_text__bigcodebench__task_0390__gen_00__BigCodeBench_390.npz,True,both_fail,19.813390731811523,376,89.95215311004785,_," pd.testing.assert_frame_equal(result_df, expected_df)\n\n    def test_invalid_input(self):\n        csv_url_dict = {}\n        with self.assertRaises",9.617469787597656,10.203219413757324
25,3048,bigcodebench,BigCodeBench/186,186,deepseek_base,512,same_text__bigcodebench__task_0186__gen_00__BigCodeBench_186.npz,True,both_fail,19.783100128173828,468,91.40625,_,"folium.Map)\n        self.assertIsInstance(result[1], dict)\n\n    def test_empty_input(self):\n        # Test with empty input\n        input_dict = {}\n        with self",9.707818984985352,10.0825834274292
26,3048,bigcodebench,BigCodeBench/391,391,deepseek_base,512,same_text__bigcodebench__task_0391__gen_00__BigCodeBench_391.npz,True,improvement,19.781145095825195,456,89.0625,_,"os.path.join(backup_dir, file)) for file in self.files)\n\n    def test_task_func_failure(self):\n        with patch('shutil.move', side_effect=Exception",9.994174003601074,9.794276237487793
27,3048,bigcodebench,BigCodeBench/708,708,deepseek_base,484,same_text__bigcodebench__task_0708__gen_00__BigCodeBench_708.npz,True,improvement,19.76658058166504,423,87.39669421487604,_,".assertEqual(header, ['key'])\n            self.assertEqual(data, ['value'])\n\n    def test_task_func_with_invalid_input(self):\n        # Test that the function raises a ValueError when",9.797698974609375,9.976173400878906
28,3048,bigcodebench,BigCodeBench/154,154,deepseek_base,511,same_text__bigcodebench__task_0154__gen_00__BigCodeBench_154.npz,True,both_fail,19.74588966369629,292,57.142857142857146,_, # Remove the temporary directory\n        shutil.rmtree(self.temp_dir)\n\n    def test_task_func(self):\n        # Create some test files\n        with open(os.path.join(,10.082090377807617,9.671086311340332
29,3048,bigcodebench,BigCodeBench/201,201,deepseek_base,513,same_text__bigcodebench__task_0201__gen_00__BigCodeBench_201.npz,True,both_fail,19.743968963623047,471,91.81286549707602,_,"Axes))\n        self.assertEqual(num_greater_value, 5)\n\n    def test_task_func_column_not_exist(self):\n        with self.assertRaises(ValueError):",9.92548942565918,9.825780868530273
30,3048,bigcodebench,BigCodeBench/137,137,deepseek_base,214,same_text__bigcodebench__task_0137__gen_00__BigCodeBench_137.npz,True,both_fail,19.66838836669922,186,86.91588785046729,_," = task_func(df)\n        self.assertIsInstance(result, float)\n\n    def test_invalid_input(self):\n        with self.assertRaises(ValueError):\n            task_func(",9.640632629394531,10.035043716430664
31,3048,bigcodebench,BigCodeBench/798,798,deepseek_base,502,same_text__bigcodebench__task_0798__gen_00__BigCodeBench_798.npz,True,both_fail,19.666584014892578,373,74.30278884462152,_, directory and its contents\n        shutil.rmtree(self.backup_dir)\n        \n    def test_task_func(self):\n        # Test that the function returns the restored directory path on successful rollback\n       ,9.924590110778809,9.749290466308594
32,3048,bigcodebench,BigCodeBench/147,147,deepseek_base,513,same_text__bigcodebench__task_0147__gen_00__BigCodeBench_147.npz,True,both_fail,19.50727653503418,185,36.06237816764133,def," # Close the socket\n    sock.close()\n\n    # Return the results\n    return results\n\ndef scan_ip(sock, ip, port, results):\n    """"""\n    Scans a single IP address",9.318467140197754,10.196121215820312
33,3048,bigcodebench,BigCodeBench/367,367,deepseek_base,499,same_text__bigcodebench__task_0367__gen_00__BigCodeBench_367.npz,True,both_fail,19.373310089111328,424,84.96993987975952,_, = task_func(activities)\n        self.assertIsNotNone(ax)\n\n    def test_task_func_with_invalid_activities(self):\n        # Test that the function raises a TypeError,10.05699634552002,9.323612213134766
34,3048,bigcodebench,BigCodeBench/930,930,deepseek_base,252,same_text__bigcodebench__task_0930__gen_00__BigCodeBench_930.npz,True,improvement,19.369394302368164,221,87.6984126984127,_,"task_func('xyz'), ['yz', 'yz', 'yz'])\n\n    def test_invalid_input(self):\n        with self.assertRaises(ValueError):\n            task_func('",9.546758651733398,9.829937934875488
35,3048,bigcodebench,BigCodeBench/74,74,deepseek_base,508,same_text__bigcodebench__task_0074__gen_00__BigCodeBench_74.npz,True,both_fail,19.36829948425293,328,64.56692913385827,_,"('geolocation', result)\n\n    @patch('socket.gethostbyname')\n    def test_invalid_hostname(self, mock_gethostbyname):\n        mock_gethostbyname.side",9.74995231628418,9.625630378723145
36,3048,bigcodebench,BigCodeBench/236,236,deepseek_base,460,same_text__bigcodebench__task_0236__gen_00__BigCodeBench_236.npz,True,improvement,19.347332000732422,294,63.91304347826087,_, task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_task_func(self):\n        # Create a sample DataFrame\n        data = pd.DataFrame([,9.959875106811523,9.394762992858887
37,3048,bigcodebench,BigCodeBench/1092,1092,deepseek_base,405,same_text__bigcodebench__task_1092__gen_00__BigCodeBench_1092.npz,True,both_fail,19.29275894165039,247,60.98765432098765,_,".assertTrue(all(isinstance(d, dict) for d in dictionaries))\n\n    def test_invalid_url(self):\n        url = 'https://www.invalidurl.com'\n        dictionaries",9.677303314208984,9.622740745544434
38,3048,bigcodebench,BigCodeBench/144,144,deepseek_base,422,same_text__bigcodebench__task_0144__gen_00__BigCodeBench_144.npz,True,improvement,19.272489547729492,370,87.67772511848341,_,            self.assertTrue(ipaddress.ip_address(ip).version == 4)\n\n    def test_invalid_ip_range(self):\n        ip_range = 'invalid_ip_range'\n        timeout,9.826642990112305,9.453147888183594
39,3048,bigcodebench,BigCodeBench/721,721,deepseek_base,505,same_text__bigcodebench__task_0721__gen_00__BigCodeBench_721.npz,True,both_fail,19.267242431640625,243,48.118811881188115,_,\n    def tearDown(self):\n        self.temp_dir.cleanup()\n\n    def test_file_not_found(self):\n        result = task_func('nonexistent_file.csv'),9.992037773132324,9.282493591308594
40,3048,bigcodebench,BigCodeBench/705,705,deepseek_base,382,same_text__bigcodebench__task_0705__gen_00__BigCodeBench_705.npz,True,both_fail,19.251712799072266,328,85.86387434554973,_,"False(task_func(self.df, 'Value', 0.05))\n\n    def test_task_func_errors(self):\n        # Test with a non-existent column\n        with self.",9.518330574035645,9.740691184997559
41,3048,bigcodebench,BigCodeBench/221,221,deepseek_base,371,same_text__bigcodebench__task_0221__gen_00__BigCodeBench_221.npz,True,both_fail,19.247116088867188,244,65.76819407008087,_, task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_valid_input(self):\n        # Test with valid input\n        df = pd.DataFrame({',9.881253242492676,9.37315845489502
42,3048,bigcodebench,BigCodeBench/498,498,deepseek_base,458,same_text__bigcodebench__task_0498__gen_00__BigCodeBench_498.npz,True,both_fail,19.24439811706543,222,48.47161572052402,_,"(xml_string, False)\n        self.assertEqual(result, expected_result)\n\n    def test_empty_xml(self):\n        xml_string = ''\n        with self.assertRaises(ValueError",9.66008186340332,9.591621398925781
43,3048,bigcodebench,BigCodeBench/902,902,deepseek_base,391,same_text__bigcodebench__task_0902__gen_00__BigCodeBench_902.npz,True,both_fail,19.19679069519043,238,60.869565217391305,_," 1}}\n        self.assertEqual(task_func(data), expected_result)\n\n    def test_task_func_with_missing_values(self):\n        data = [{'x': 1,",9.560596466064453,9.643492698669434
44,3048,bigcodebench,BigCodeBench/124,124,deepseek_base,510,same_text__bigcodebench__task_0124__gen_00__BigCodeBench_124.npz,True,both_fail,19.166608810424805,402,78.82352941176471,_," task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_task_func(self):\n        # Test with a valid input list\n        my_list = [2,",9.901493072509766,9.27242374420166
45,3048,bigcodebench,BigCodeBench/70,70,deepseek_base,486,same_text__bigcodebench__task_0070__gen_00__BigCodeBench_70.npz,True,both_fail,19.130115509033203,273,56.17283950617284,_," task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_task_func_valid_json(self):\n        df, ax = task_func('data/task_",10.020589828491211,9.11683464050293
46,3048,humanevalplus,HumanEval/59,59,deepseek_base,478,same_text__humanevalplus__task_0059__gen_00__HumanEval_59.npz,True,both_pass,19.112106323242188,72,15.06276150627615,_," is_prime(i):\n                return largest_prime_factor(n // i)\n\n\ndef is_prime(n: int):\n    """"""Return True if n is a prime number and False otherwise.\n    >>>",8.940465927124023,10.178943634033203
47,3048,bigcodebench,BigCodeBench/968,968,deepseek_base,386,same_text__bigcodebench__task_0968__gen_00__BigCodeBench_968.npz,True,both_fail,19.066246032714844,211,54.66321243523316,_, task_func import task_func\n\nclass TestTaskFunc(unittest.TestCase):\n    def test_task_func(self):\n        # Test case 1: Valid input\n        data = {'A': [,9.79623794555664,9.277312278747559
48,3048,bigcodebench,BigCodeBench/1027,1027,deepseek_base,456,same_text__bigcodebench__task_1027__gen_00__BigCodeBench_1027.npz,True,both_fail,19.04085350036621,314,68.85964912280701,_,"KL'\n        self.assertEqual(task_func(url), expected_output)\n\n    def test_invalid_hex_string(self):\n        url = 'https://www.example.com?q=4",9.511086463928223,9.53703784942627
49,3048,bigcodebench,BigCodeBench/508,508,deepseek_base,512,same_text__bigcodebench__task_0508__gen_00__BigCodeBench_508.npz,True,improvement,18.957548141479492,254,49.609375,_, tearDown(self):\n        shutil.rmtree(self.temp_dir)\n\n    def test_identical_files(self):\n        file1_path = os.path.join(self.temp_,9.629294395446777,9.335548400878906
50,3048,bigcodebench,BigCodeBench/1057,1057,deepseek_base,501,same_text__bigcodebench__task_1057__gen_00__BigCodeBench_1057.npz,True,both_fail,18.900043487548828,275,54.89021956087824,_,\n        result = task_func()\n        self.assertTrue(result.empty)\n\n    def test_empty_animals_list(self):\n        result = task_func(animals=[])\n       ,9.554364204406738,9.352978706359863
